id;title;description;opening_hours;closing_hours;ticket;address;contactId
11;Gallerie dell'Accademia;The Gallerie dell'Accademia is a museum gallery of pre-19th-century art in Venice, northern Italy. It is housed in the Scuola della Carità on the south bank of the Grand Canal, within the sestiere of Dorsoduro. It was originally the gallery of the Accademia di Belle Arti di Venezia, the art academy of Venice, from which it became independent in 1879, and for which the Ponte dell'Accademia and the Accademia boat landing station for the vaporetto water bus are named.\n\nThe Accademia di Belle Arti di Venezia was founded on 24 September 1750, the statute dates from 1756. The first director was Giovanni Battista Piazzetta, Gianbattista Tiepolo became the first president after his return from Würzburg.\n\nThe collections of the Accademia were first opened to the public on 10 August 1817.\nThe Gallerie dell'Accademia became independent from the Accademia di Belle Arti di Venezia in 1879. Like other state museums in Italy, it falls under the Ministero per i Beni e le Attività Culturali, the Italian ministry of culture and heritage.;08:15:00;19:15:00;12;Campo della Carità, 1050, 30123 Venezia VE;11
12;Santa Maria dei Miracoli;Also known as the "marble church", it is one of the best examples of the early Venetian Renaissance including colored marble, a false colonnade on the exterior walls (pilasters), and a semicircular pediment.\n\nBuilt between 1481 and 1489 by Pietro Lombardo to house a miraculous icon of the Virgin Mary. The plans for the church were expanded in 1484 to include the construction of a new convent for nuns of St. Clare to the east. The convent was connected to the gallery of the church by an enclosed walkway that was later destroyed.\n\nThe interior is enclosed by a wide barrel vault, with a single nave.The nave is dominated by an ornamental marble stair rising between two pulpits, with statues by Tullio Lombardo, Alessandro Vittoria and Niccolò di Pietro. The vaulted ceiling is divided into fifty coffers decorated with paintings of prophets, a work by Girolamo Pennacchi's contemporaries, Vincenzo dalle Destre and Lattanzio da Rimini.;10:30:00;17:00:00;3;Campiello dei Miracoli, 30121 Venezia VE;12
13;Ca' Rezzonico;Ca' Rezzonico is a palazzo on the Grand Canal in the Dorsoduro sestiere of Venice, Italy. It is a particularly notable example of the 18th century Venetian baroque and rococo architecture and interior decoration, and displays paintings by the leading Venetian painters of the period, including Francesco Guardi and Giambattista Tiepolo. \nCa' Rezzonico stands on the right bank of the canal, at the point where it is joined by the Rio di San Barnaba.\n\nThe facade was finished between 1750 and 1752. Turning his attention to the interior, Massari broke with Venetian custom and put the major ceremonial room at the back of the building, not overlooking the canal. He doubled the height of the ceiling in this room and eliminated walls to create a more dramatic space.\n\nThe palace was the site of further celebrations in 1759, when Aurelio Rezzonico was elected Procurator of San Marco, and in 1762, when Ludovico Rezzonico was elected to the same position. For three nights, the facades and interiors of the palace were lit with torches and candles in celebration.;10:00:00;18:00:00;10;Dorsoduro, 3136, 30123 Venezia VE;13
14;Isola di Torcello;Torcello is a sparsely populated island at the northern end of the Venetian Lagoon, in north-eastern Italy. It was first settled in the year 452 and has been referred to as the parent island from which Venice was populated. It was a town with a cathedral and bishops before St Mark's Basilica was built.\n\nTorcello benefited from and maintained close cultural and trading ties with Constantinople: however, being a rather distant outpost of the Eastern Roman Empire, it could establish de facto autonomy from the eastern capital.\n\nTorcello rapidly grew in importance as a political and trading centre: in the 10th century it had a population often estimated at 10,000-35,000 people, with 20,000 the most commonly cited estimate. However, some recent estimates by archeologists place it at closer to a maximum of 3,000. In pre-Medieval times, Torcello was a much more powerful trading center than Venice.;00:00:00;00:00:00;0;Torcello, Venezia;14
15;Lido di Venezia;The Lido, or Venice Lido (Italian: Lido di Venezia), is an 11-kilometre-long (7-mile) barrier island in the Venetian Lagoon, northern Italy, it is home to about 20,400 residents. The Venice Film Festival takes place at the Lido late August/early September.\n\nThe Lido island is one of the two barrier islands of the Lagoon of Venice, the other is Pellestrina. They form the central part of the coastline of the lagoon on the Adriatic Sea.\n\nLido is a long and narrow island which gets wider in its northern tract. At least half the seaward coast has sandy beaches. Much of the beach at the town of Lido belongs to various hotels. There are large public beaches towards the northern and southern ends.;00:00:00;00:00:00;0;NULL;15
16;Museo Storico Navale;The Museo Storico Navale is a naval history museum located in the Castello district of Venice, near the Venetian Arsenal.\n\nThe museum was established by the Regia Marina (the Italian Royal Navy) in 1919. Its collections include items relating to the naval and maritime history of Venice, and it has a large number of ship models and weapons on display.;11:00:00;17:00:00;7.5;Riva S. Biasio, 2148, 30122 Venezia VE;16
17;La Biennale;The Venice Biennale is an international cultural exhibition hosted annually in Venice, Italy by the Biennale Foundation. The biennale has been organised every year since 1895, which makes it the oldest of its kind.\n\nThe Art Biennale (La Biennale d'Arte di Venezia), is one of the largest and most important contemporary visual art exhibitions in the world. So-called because it is held biannually (in odd-numbered years), it is the original biennale on which others in the world have been modeled. The exhibition space spans over 7.000 square metres, and artists from over 75 countries are represented in the collective exhibition spaces as well as in the national pavilions.\n\nThe Architecture Biennale (La Biennale d'Architettura di Venezia) is held in even-numbered years. Similarly to the Art Biennale, the exhibition is based one main exhibition in the arsenale halls, as well as national exhibitions hosted in the pavilions of the arsenale and Biennale gardens.;00:00:00;00:00:00;21;Forte Marghera;17
18;Libreria Acqua Alta;Libreria Acqua Alta is located in a special corner of Venice, far from the most obsessive tourist flows, but at the same time close to one of the most beautiful churches inVenice, the Church of Santa Maria Formosa.\n\nThe peculiarity, however, is not where it is located, but rather how Luigi conceived it.\n\nGiven that when the Acqua alta exceeds 110 cm. on the middle sea enters through the door to the canal and beyond, he has equipped himself with a number of items that can float, a Gondola, a disused boat and even a bathtub, all floating things completely overlaid with books, books of all kinds: books about Venice, obviously because tourists are very attracted to the specificity of the place, adventure books, mystery books, and even in the two courtyards there are old encyclopedias that are now outdated, but which serve as a staircase to see over the boundary wall that throws over the adjacent canal, or climb vertically up the peeling walls.;09:30:00;19:00:00;0;C. Longa Santa Maria Formosa, 5176b, 30122 Venezia VE;18
19;Ponte dei Sospiri;The Bridge of Sighs (Italian: Ponte dei Sospiri) is a bridge in Venice, Italy. The enclosed bridge is made of white limestone, has windows with stone bars, passes over the Rio di Palazzo, and connects the New Prison (Prigioni Nuove) to the interrogation rooms in the Doge's Palace. It was designed by Antonio Contino, whose uncle Antonio da Ponte designed the Rialto Bridge, and it was built in 1600.\n\nThe view from the Bridge of Sighs was the last view of Venice that convicts saw before their imprisonment. The bridge's English name was bequeathed by Lord Byron in the 19th century as a translation from the Italian "Ponte dei sospiri", from the suggestion that prisoners would sigh at their final view of beautiful Venice through the window before being taken down to their cells.\n\nThe Bridge of Sighs features heavily in the plot of the 1979 film A Little Romance. One of the characters tells of a tradition that if a couple kiss in a gondola beneath the Bridge of Sighs in Venice at sunset while the church bells toll, they will be in love forever.;00:00:00;00:00:00;0;Ponte dei Sospiri, Piazza San Marco, Venezia, VE;19
20;Mercati di Rialto;The Rialto market was Venice's most important trading center. The name Rialto derives from the Italian rivo alto = the high bank . It was one of the first places in the lagoon to be settled. From the very beginning, trade and traffic have been concentrated at the Rialto.\n\nOriginally the Venice market was held on Saturdays in the large square of Olivolo in Castello. Especially in the early days it was known for having no taxes and other public charges, and in this way it was able to compete with the markets of Pavia and Campalto , then among the most important in Italy. When the government settled here in the 9th century, the Rialto became the driving force behind the development of commerce. The construction of a fish and vegetable market was the visible confirmation of the successful efforts.;00:00:00;00:00:00;0;Sestiere San Polo 122, 30125 Venezia VE;20
